torque,feed
0.037,-288.000
0.037,-288.000
0.037,-288.000
0.116,-288.000
0.116,-288.000
0.190,-288.000
0.190,-288.000
0.300,-288.000
0.300,-288.000
0.275,-288.000
0.275,-288.000
0.147,-288.000
0.147,-288.000
0.013,-288.000
0.013,-288.000
0.263,-288.000
0.263,-288.000
0.293,-288.000
0.293,-288.000
0.281,-288.000
0.281,-288.000
0.422,-288.000
0.422,-288.000
0.409,-288.000
0.409,-288.000
-0.000,-288.000
-0.000,-288.000
0.153,-288.000
0.153,-288.000
0.153,-288.000
0.306,-288.000
0.306,-288.000
0.422,-288.000
0.422,-288.000
0.336,-288.000
0.336,-288.000
0.245,-288.000
0.245,-288.000
-0.030,-288.000
-0.030,-288.000
0.306,-288.000
0.306,-288.000
0.287,-288.000
0.287,-288.000
0.336,-288.000
0.336,-288.000
0.385,-288.000
0.385,-288.000
0.214,-288.000
0.214,-288.000
0.037,-288.000
0.037,-288.000
0.104,-288.000
0.104,-288.000
0.104,-288.000
0.196,-288.000
0.196,-288.000
0.251,-288.000
0.251,-288.000
0.324,-288.000
0.324,-288.000
0.159,-288.000
0.159,-288.000
0.025,-288.000
0.025,-288.000
0.318,-288.000
0.318,-288.000
0.232,-288.000
0.232,-288.000
0.330,-288.000
0.330,-288.000
0.416,-288.000
0.416,-288.000
0.385,-288.000
0.385,-288.000
0.025,-288.000
0.025,-288.000
0.025,-288.000
0.135,-288.000
0.135,-288.000
0.361,-288.000
0.361,-288.000
0.165,-288.000
0.165,-288.000
0.306,-288.000
0.306,-288.000
0.275,-288.000
0.275,-288.000
-0.073,-288.000
-0.073,-288.000
0.062,-288.000
0.062,-288.000
0.263,-288.000
0.263,-288.000
0.330,-288.000
0.330,-288.000
0.452,-288.000
0.452,-288.000
0.452,-288.000
0.269,-288.000
0.269,-288.000
0.293,-288.000
0.293,-288.000
0.055,-288.000
0.055,-288.000
0.318,-288.000
0.318,-288.000
0.263,-288.000
0.263,-288.000
0.251,-288.000
0.251,-288.000
0.220,-288.000
0.220,-288.000
-0.000,-288.000
-0.000,-288.000
0.306,-288.000
0.306,-288.000
0.129,-288.000
0.129,-288.000
0.293,-288.000
0.293,-288.000
0.477,-288.000
0.477,-288.000
0.477,-288.000
0.355,-288.000
0.355,-288.000
0.037,-288.000
0.037,-288.000
-0.048,-288.000
-0.048,-288.000
0.342,-288.000
0.342,-288.000
0.208,-288.000
0.208,-288.000
0.263,-288.000
0.263,-288.000
0.293,-288.000
0.293,-288.000
0.165,-288.000
0.165,-288.000
0.049,-288.000
0.049,-288.000
0.348,-288.000
0.348,-288.000
0.324,-288.000
0.324,-288.000
0.464,-288.000
0.464,-288.000
0.190,-288.000
0.190,-288.000
0.190,-288.000
0.269,-288.000
0.269,-288.000
0.092,-288.000
0.092,-288.000
0.171,-288.000
0.171,-288.000
0.281,-288.000
0.281,-288.000
0.269,-288.000
0.269,-288.000
0.220,-288.000
0.220,-288.000
0.049,-288.000
0.049,-288.000
0.025,-288.000
0.025,-288.000
0.171,-288.000
0.171,-288.000
0.300,-288.000
0.300,-288.000
0.300,-288.000
0.464,-288.000
0.464,-288.000
0.293,-288.000
0.293,-288.000
0.245,-288.000
0.245,-288.000
-0.012,-288.000
-0.012,-288.000
0.324,-288.000
0.324,-288.000
0.220,-288.000
0.220,-288.000
0.519,-288.000
0.519,-288.000
0.580,-288.000
0.580,-288.000
0.416,-288.000
0.416,-288.000
0.287,-288.000
0.287,-288.000
0.666,-288.000
0.666,-288.000
0.831,-288.000
0.831,-288.000
0.934,-288.000
0.934,-288.000
0.782,-288.000
0.782,-288.000
0.782,-288.000
1.020,-288.000
1.020,-288.000
1.001,-288.000
1.001,-288.000
1.246,-288.000
1.246,-288.000
1.606,-288.000
1.606,-288.000
1.636,-288.000
1.636,-288.000
1.392,-288.000
1.392,-288.000
1.429,-288.000
1.429,-288.000
1.667,-288.000
1.667,-288.000
1.594,-288.000
1.594,-288.000
1.728,-288.000
1.728,-288.000
1.911,-288.000
1.911,-288.000
1.783,-288.000
1.783,-288.000
1.276,-288.000
1.276,-288.000
1.575,-288.000
1.575,-288.000
1.777,-288.000
1.777,-288.000
1.777,-288.000
1.862,-288.000
1.862,-288.000
1.832,-288.000
1.832,-288.000
1.392,-288.000
1.392,-288.000
1.301,-288.000
1.301,-288.000
1.728,-288.000
1.728,-288.000
1.673,-288.000
1.673,-288.000
1.844,-288.000
1.844,-288.000
1.636,-288.000
1.636,-288.000
1.490,-288.000
1.490,-288.000
1.276,-288.000
1.276,-288.000
1.276,-288.000
1.612,-288.000
1.612,-288.000
1.618,-288.000
1.618,-288.000
1.893,-288.000
1.893,-288.000
1.618,-288.000
1.618,-288.000
1.655,-288.000
1.655,-288.000
1.447,-288.000
1.447,-288.000
1.703,-288.000
1.703,-288.000
1.606,-288.000
1.606,-288.000
1.807,-288.000
1.807,-288.000
1.587,-288.000
1.587,-288.000
2.009,-288.000
2.009,-288.000
1.471,-288.000
1.471,-288.000
1.313,-288.000
1.313,-288.000
1.764,-288.000
1.764,-288.000
1.703,-288.000
1.703,-288.000
1.703,-288.000
1.886,-288.000
1.264,-288.000
1.264,-288.000
1.563,-288.000
1.563,-288.000
1.563,-288.000
1.911,-288.000
1.911,-288.000
1.642,-288.000
1.642,-288.000
1.722,-288.000
1.722,-288.000
1.490,-288.000
1.490,-288.000
1.545,-288.000
1.545,-288.000
1.276,-288.000
1.276,-288.000
1.825,-288.000
1.825,-288.000
1.673,-288.000
1.673,-288.000
1.948,-288.000
1.948,-288.000
1.496,-288.000
1.496,-288.000
1.490,-288.000
1.490,-288.000
1.624,-288.000
1.624,-288.000
1.972,-288.000
1.972,-288.000
1.972,-288.000
1.575,-288.000
1.575,-288.000
1.581,-288.000
1.581,-288.000
1.484,-288.000
1.484,-288.000
1.294,-288.000
1.294,-288.000
1.636,-288.000
1.636,-288.000
1.648,-288.000
1.648,-288.000
1.734,-288.000
1.734,-288.000
1.502,-288.000
1.502,-288.000
1.355,-288.000
1.355,-288.000
1.679,-288.000
1.679,-288.000
1.618,-288.000
1.618,-288.000
1.795,-288.000
1.795,-288.000
1.789,-288.000
1.789,-288.000
1.777,-288.000
1.777,-288.000
1.777,-288.000
1.441,-288.000
1.441,-288.000
1.368,-288.000
1.368,-288.000
1.679,-288.000
1.679,-288.000
1.532,-288.000
1.532,-288.000
1.832,-288.000
1.832,-288.000
1.752,-288.000
1.752,-288.000
1.526,-288.000
1.526,-288.000
1.423,-288.000
1.423,-288.000
1.575,-288.000
1.575,-288.000
1.648,-288.000
1.648,-288.000
1.697,-288.000
1.697,-288.000
1.697,-288.000
1.691,-288.000
1.691,-288.000
1.642,-288.000
1.642,-288.000
1.441,-288.000
1.441,-288.000
1.606,-288.000
1.606,-288.000
1.618,-288.000
1.618,-288.000
1.893,-288.000
1.893,-288.000
1.880,-288.000
1.880,-288.000
1.838,-288.000
1.838,-288.000
1.264,-288.000
1.264,-288.000
1.264,-288.000
1.392,-288.000
1.392,-288.000
1.685,-288.000
1.685,-288.000
1.484,-288.000
1.484,-288.000
1.795,-288.000
1.795,-288.000
1.563,-288.000
1.563,-288.000
1.233,-288.000
1.233,-288.000
1.624,-288.000
1.624,-288.000
1.447,-288.000
1.447,-288.000
1.703,-288.000
1.703,-288.000
1.618,-288.000
1.618,-288.000
1.459,-288.000
1.459,-288.000
1.520,-288.000
1.520,-288.000
1.789,-288.000
1.789,-288.000
1.569,-288.000
1.569,-288.000
1.795,-288.000
1.795,-288.000
1.691,-288.000
1.691,-288.000
1.374,-288.000
1.374,-288.000
1.374,-288.000
1.624,-288.000
1.624,-288.000
1.612,-288.000
1.612,-288.000
1.569,-288.000
1.569,-288.000
1.655,-288.000
1.655,-288.000
1.569,-288.000
1.569,-288.000
1.374,-288.000
1.374,-288.000
1.587,-288.000
1.587,-288.000
1.801,-288.000
1.801,-288.000
1.740,-288.000
1.740,-288.000
1.532,-288.000
1.532,-288.000
1.722,-288.000
1.722,-288.000
1.343,-288.000
1.343,-288.000
1.343,-288.000
1.392,-288.000
1.392,-288.000
1.771,-288.000
1.771,-288.000
1.801,-288.000
1.801,-288.000
1.777,-288.000
1.777,-288.000
1.673,-288.000
1.673,-288.000
1.288,-288.000
1.288,-288.000
1.819,-288.000
1.819,-288.000
1.587,-288.000
1.587,-288.000
1.716,-288.000
1.716,-288.000
1.624,-288.000
1.624,-288.000
1.484,-288.000
1.484,-288.000
1.813,-288.000
1.813,-288.000
1.642,-288.000
1.642,-288.000
1.709,-288.000
1.709,-288.000
1.935,-288.000
1.935,-288.000
1.539,-288.000
1.539,-288.000
1.539,-288.000
1.728,-288.000
1.728,-288.000
1.520,-288.000
1.520,-288.000
1.575,-288.000
1.575,-288.000
1.801,-288.000
1.801,-288.000
2.002,-288.000
2.002,-288.000
1.563,-288.000
1.563,-288.000
1.301,-288.000
1.301,-288.000
1.722,-288.000
1.722,-288.000
1.471,-288.000
1.471,-288.000
1.636,-288.000
1.636,-288.000
1.874,-288.000
1.874,-288.000
1.874,-288.000
1.734,-288.000
1.734,-288.000
1.636,-288.000
1.636,-288.000
1.551,-288.000
1.551,-288.000
1.862,-288.000
1.862,-288.000
1.423,-288.000
1.423,-288.000
1.856,-288.000
1.856,-288.000
1.673,-288.000
1.673,-288.000
1.471,-288.000
1.471,-288.000
1.752,-288.000
1.752,-288.000
1.764,-288.000
1.764,-288.000
1.996,-288.000
1.996,-288.000
2.094,-288.000
2.094,-288.000
2.094,-288.000
1.551,-288.000
1.551,-288.000
1.740,-288.000
1.740,-288.000
1.520,-288.000
1.520,-288.000
1.575,-288.000
1.575,-288.000
1.807,-288.000
1.807,-288.000
1.667,-288.000
1.667,-288.000
1.587,-288.000
1.587,-288.000
1.502,-288.000
1.502,-288.000
1.355,-288.000
1.355,-288.000
1.404,-288.000
1.404,-288.000
1.404,-288.000
1.813,-288.000
1.813,-288.000
1.966,-288.000
1.966,-288.000
1.709,-288.000
1.709,-288.000
1.709,-288.000
1.709,-288.000
1.520,-288.000
1.520,-288.000
1.429,-288.000
1.429,-288.000
1.764,-288.000
1.764,-288.000
1.746,-288.000
1.746,-288.000
1.758,-288.000
1.758,-288.000
1.532,-288.000
1.532,-288.000
1.532,-288.000
1.764,-288.000
1.764,-288.000
1.594,-288.000
1.594,-288.000
1.716,-288.000
1.716,-288.000
1.703,-288.000
1.703,-288.000
1.722,-288.000
1.722,-288.000
1.709,-288.000
1.709,-288.000
1.417,-288.000
1.417,-288.000
1.844,-288.000
1.844,-288.000
1.557,-288.000
1.557,-288.000
1.673,-288.000
1.673,-288.000
1.868,-288.000
1.868,-288.000
2.039,-288.000
2.039,-288.000
1.435,-288.000
1.435,-288.000
1.435,-288.000
1.557,-288.000
1.557,-288.000
1.655,-288.000
1.655,-288.000
1.636,-288.000
1.636,-288.000
2.112,-288.000
2.112,-288.000
1.539,-288.000
1.539,-288.000
1.459,-288.000
1.459,-288.000
1.459,-288.000
1.459,-288.000
1.703,-288.000
1.703,-288.000
1.905,-288.000
1.905,-288.000
1.972,-288.000
1.972,-288.000
1.691,-288.000
1.691,-288.000
1.392,-288.000
1.392,-288.000
1.685,-288.000
1.685,-288.000
1.923,-288.000
1.923,-288.000
1.923,-288.000
1.606,-288.000
1.606,-288.000
1.569,-288.000
1.569,-288.000
1.642,-288.000
1.642,-288.000
1.496,-288.000
1.496,-288.000
1.600,-288.000
1.600,-288.000
1.703,-288.000
1.703,-288.000
1.795,-288.000
1.795,-288.000
1.838,-288.000
1.838,-288.000
1.429,-288.000
1.429,-288.000
1.325,-288.000
1.325,-288.000
1.453,-288.000
1.453,-288.000
1.453,-288.000
1.612,-288.000
1.612,-288.000
2.076,-288.000
2.076,-288.000
1.648,-288.000
1.648,-288.000
1.447,-288.000
1.447,-288.000
1.417,-288.000
1.417,-288.000
2.021,-288.000
2.021,-288.000
1.508,-288.000
1.508,-288.000
1.850,-288.000
1.850,-288.000
1.838,-288.000
1.838,-288.000
1.520,-288.000
1.520,-288.000
1.520,-288.000
1.832,-288.000
1.832,-288.000
1.453,-288.000
1.453,-288.000
1.569,-288.000
1.569,-288.000
1.764,-288.000
1.764,-288.000
1.636,-288.000
1.636,-288.000
1.722,-288.000
1.722,-288.000
1.502,-288.000
1.502,-288.000
1.636,-288.000
1.636,-288.000
1.795,-288.000
1.795,-288.000
1.838,-288.000
1.838,-288.000
1.948,-288.000
1.948,-288.000
1.795,-288.000
1.795,-288.000
1.355,-288.000
1.355,-288.000
1.581,-288.000
1.581,-288.000
1.783,-288.000
1.783,-288.000
2.082,-288.000
2.082,-288.000
1.697,-288.000
1.697,-288.000
1.697,-288.000
1.349,-288.000
1.349,-288.000
1.545,-288.000
1.545,-288.000
1.844,-288.000
1.844,-288.000
1.740,-288.000
1.740,-288.000
1.673,-288.000
1.673,-288.000
1.703,-288.000
1.703,-288.000
1.648,-288.000
1.648,-288.000
1.423,-288.000
1.423,-288.000
1.807,-288.000
1.807,-288.000
2.118,-288.000
2.118,-288.000
1.856,-288.000
1.856,-288.000
1.856,-288.000
1.642,-288.000
1.642,-288.000
1.789,-288.000
1.789,-288.000
1.636,-288.000
1.636,-288.000
2.045,-288.000
2.045,-288.000
1.929,-288.000
1.929,-288.000
1.636,-288.000
1.636,-288.000
1.716,-288.000
1.716,-288.000
1.545,-288.000
1.545,-288.000
1.636,-288.000
1.636,-288.000
1.423,-288.000
1.423,-288.000
1.911,-288.000
1.911,-288.000
2.015,-288.000
2.015,-288.000
1.819,-288.000
1.819,-288.000
1.502,-288.000
1.502,-288.000
1.502,-288.000
1.703,-288.000
1.703,-288.000
1.862,-288.000
1.862,-288.000
1.587,-288.000
1.587,-288.000
1.758,-288.000
1.758,-288.000
1.624,-288.000
1.624,-288.000
1.581,-288.000
1.581,-288.000
1.526,-288.000
1.526,-288.000
1.917,-288.000
1.917,-288.000
1.709,-288.000
1.709,-288.000
1.709,-288.000
1.722,-288.000
1.722,-288.000
2.063,-288.000
2.063,-288.000
1.740,-288.000
1.740,-288.000
1.368,-288.000
1.368,-288.000
1.783,-288.000
1.783,-288.000
1.899,-288.000
1.899,-288.000
1.661,-288.000
1.661,-288.000
1.575,-288.000
1.575,-288.000
1.893,-288.000
1.893,-288.000
1.551,-288.000
1.551,-288.000
1.551,-288.000
1.490,-288.000
1.490,-288.000
1.923,-288.000
1.923,-288.000
1.777,-288.000
1.777,-288.000
1.929,-288.000
1.929,-288.000
1.703,-288.000
1.703,-288.000
1.459,-288.000
1.459,-288.000
1.905,-288.000
1.905,-288.000
1.832,-288.000
1.832,-288.000
1.740,-288.000
1.740,-288.000
1.917,-288.000
1.917,-288.000
1.917,-288.000
1.789,-288.000
1.789,-288.000
1.862,-288.000
1.862,-288.000
1.679,-288.000
1.679,-288.000
1.893,-288.000
1.893,-288.000
1.911,-288.000
1.911,-288.000
1.734,-288.000
1.734,-288.000
1.722,-288.000
1.722,-288.000
1.557,-288.000
1.557,-288.000
1.825,-288.000
1.825,-288.000
1.703,-288.000
1.703,-288.000
2.027,-288.000
2.027,-288.000
1.978,-288.000
1.978,-288.000
2.540,-288.000
2.540,-288.000
2.540,-288.000
2.173,-288.000
2.173,-288.000
1.722,-288.000
1.722,-288.000
2.082,-288.000
2.082,-288.000
1.752,-288.000
1.752,-288.000
2.021,-288.000
2.021,-288.000
2.106,-288.000
2.106,-288.000
1.691,-288.000
1.691,-288.000
1.777,-288.000
1.777,-288.000
2.356,-288.000
2.356,-288.000
2.179,-288.000
2.179,-288.000
2.094,-288.000
2.094,-288.000
2.210,-288.000
2.210,-288.000
2.076,-288.000
2.076,-288.000
2.094,-288.000
2.094,-288.000
2.094,-288.000
1.722,-288.000
1.722,-288.000
1.948,-288.000
1.948,-288.000
1.874,-288.000
1.874,-288.000
2.033,-288.000
2.033,-288.000
1.862,-288.000
1.862,-288.000
1.771,-288.000
1.771,-288.000
2.533,-288.000
2.533,-288.000
2.155,-288.000
2.155,-288.000
2.179,-288.000
2.179,-288.000
2.399,-288.000
2.399,-288.000
2.399,-288.000
1.740,-288.000
1.740,-288.000
1.984,-288.000
1.984,-288.000
2.387,-288.000
2.387,-288.000
2.533,-288.000
2.533,-288.000
2.216,-288.000
2.216,-288.000
2.454,-288.000
2.454,-288.000
2.112,-288.000
2.112,-288.000
1.801,-288.000
1.801,-288.000
2.204,-288.000
2.204,-288.000
2.137,-288.000
2.137,-288.000
2.399,-288.000
2.399,-288.000
2.399,-288.000
1.978,-288.000
1.978,-288.000
2.125,-288.000
2.125,-288.000
1.600,-288.000
1.600,-288.000
2.070,-288.000
2.070,-288.000
2.186,-288.000
2.186,-288.000
2.363,-288.000
2.363,-288.000
2.204,-288.000
2.204,-288.000
2.179,-288.000
2.179,-288.000
1.758,-288.000
1.758,-288.000
1.954,-288.000
1.954,-288.000
2.308,-288.000
2.308,-288.000
2.424,-288.000
2.424,-288.000
1.825,-288.000
1.825,-288.000
1.673,-288.000
1.673,-288.000
1.673,-288.000
1.673,-288.000
1.673,-288.000
1.996,-288.000
1.996,-288.000
1.899,-288.000
1.899,-288.000
2.448,-288.000
2.448,-288.000
1.771,-288.000
1.771,-288.000
1.502,-288.000
1.502,-288.000
1.703,-288.000
1.703,-288.000
2.149,-288.000
2.149,-288.000
2.039,-288.000
2.039,-288.000
2.106,-288.000
2.106,-288.000
2.009,-288.000
2.009,-288.000
2.417,-288.000
2.417,-288.000
2.186,-288.000
2.186,-288.000
2.247,-288.000
2.247,-288.000
2.247,-288.000
1.862,-288.000
1.862,-288.000
2.063,-288.000
2.063,-288.000
2.094,-288.000
2.094,-288.000
1.471,-288.000
1.471,-288.000
1.960,-288.000
1.960,-288.000
2.387,-288.000
2.387,-288.000
2.448,-288.000
2.448,-288.000
1.954,-288.000
1.954,-288.000
2.295,-288.000
2.295,-288.000
2.271,-288.000
2.271,-288.000
1.886,-288.000
1.886,-288.000
2.448,-288.000
2.448,-288.000
2.448,-288.000
1.929,-288.000
1.929,-288.000
2.027,-288.000
2.027,-288.000
1.856,-288.000
1.856,-288.000
1.673,-288.000
1.673,-288.000
1.960,-288.000
1.960,-288.000
2.094,-288.000
2.094,-288.000
2.399,-288.000
2.399,-288.000
2.631,-288.000
2.631,-288.000
1.813,-288.000
1.813,-288.000
1.886,-288.000
1.886,-288.000
1.886,-288.000
1.886,-288.000
1.886,-288.000
2.369,-288.000
2.369,-288.000
2.277,-288.000
2.277,-288.000
2.436,-288.000
2.436,-288.000
1.850,-288.000
1.850,-288.000
2.112,-288.000
2.112,-288.000
1.691,-288.000
1.691,-288.000
2.027,-288.000
2.027,-288.000
1.722,-288.000
1.722,-288.000
2.271,-288.000
2.271,-288.000
1.606,-288.000
1.606,-288.000
1.813,-288.000
1.813,-288.000
2.094,-288.000
2.094,-288.000
2.015,-288.000
2.015,-288.000
2.015,-288.000
2.717,-288.000
2.717,-288.000
2.417,-288.000
2.417,-288.000
2.515,-288.000
2.515,-288.000
1.685,-288.000
1.685,-288.000
2.552,-288.000
2.552,-288.000
1.685,-288.000
1.685,-288.000
1.496,-288.000
1.496,-288.000
2.149,-288.000
2.149,-288.000
2.247,-288.000
2.247,-288.000
2.204,-288.000
2.204,-288.000
1.954,-288.000
1.954,-288.000
1.996,-288.000
1.996,-288.000
2.015,-288.000
2.015,-288.000
1.795,-288.000
1.795,-288.000
1.795,-288.000
1.807,-288.000
1.807,-288.000
2.656,-288.000
2.656,-288.000
2.491,-288.000
2.491,-288.000
2.271,-288.000
2.271,-288.000
2.137,-288.000
2.137,-288.000
1.801,-288.000
1.801,-288.000
2.253,-288.000
2.253,-288.000
1.984,-288.000
1.984,-288.000
1.948,-288.000
1.948,-288.000
1.984,-288.000
1.984,-288.000
2.692,-288.000
2.692,-288.000
2.509,-288.000
2.509,-288.000
2.619,-288.000
2.619,-288.000
2.222,-288.000
2.222,-288.000
2.161,-288.000
2.161,-288.000
2.039,-288.000
2.039,-288.000
1.679,-288.000
1.679,-288.000
1.594,-288.000
1.594,-288.000
1.594,-288.000
1.819,-288.000
1.819,-288.000
2.302,-288.000
2.302,-288.000
2.045,-288.000
2.045,-288.000
3.034,-288.000
3.034,-288.000
1.917,-288.000
1.917,-288.000
1.471,-288.000
1.471,-288.000
2.057,-288.000
2.057,-288.000
2.015,-288.000
2.015,-288.000
1.801,-288.000
1.801,-288.000
2.436,-288.000
2.436,-288.000
1.832,-288.000
1.832,-288.000
1.673,-288.000
1.673,-288.000
2.210,-288.000
2.210,-288.000
1.929,-288.000
1.929,-288.000
1.929,-288.000
1.850,-288.000
1.850,-288.000
1.789,-288.000
1.789,-288.000
2.289,-288.000
2.289,-288.000
1.502,-288.000
1.502,-288.000
1.642,-288.000
1.642,-288.000
2.228,0.000
2.228,0.000
1.825,0.000
1.825,0.000
1.215,0.000
1.215,0.000
0.562,0.000
0.562,0.000
0.495,0.000
0.495,0.000
0.403,0.000
0.403,0.000
0.501,0.000
0.501,0.000
0.593,0.000
0.593,0.000
0.367,0.000
0.367,0.000
0.397,0.000
0.397,0.000
0.226,0.000
0.226,0.000
0.226,0.000
0.355,0.000
0.355,0.000
0.416,0.000
0.416,0.000
0.367,0.000
0.367,0.000
0.251,0.000
0.251,0.000
0.116,0.000
0.116,0.000
0.324,0.000
0.324,0.000
0.287,0.000
0.287,0.000
0.348,0.000
0.348,0.000
0.452,0.000
0.452,0.000
0.318,0.000
0.318,0.000
0.049,0.000
0.049,0.000
0.324,0.000
0.324,0.000
0.373,0.000
0.373,0.000
0.477,0.000
0.477,0.000
0.477,0.000
0.397,0.000
0.397,0.000
0.251,0.000
0.251,0.000
0.159,0.000
0.159,0.000
0.281,0.000
0.281,0.000
0.251,0.000
0.251,0.000
0.232,0.000
0.232,0.000
0.275,156.000
0.275,156.000
0.135,2000.000
0.135,2000.000
0.031,2000.000
0.031,2000.000
0.153,2000.000
0.153,2000.000
0.324,2000.000
0.324,2000.000
0.324,2000.000
0.464,2000.000
0.464,2000.000
0.409,2000.000
0.409,2000.000
0.269,2000.000
0.269,2000.000
0.080,2000.000
0.080,2000.000
0.293,2000.000
0.293,2000.000
0.300,2000.000
0.300,2000.000
0.312,2000.000
0.312,2000.000
0.263,2000.000
0.263,2000.000
0.239,2000.000
0.239,2000.000
0.025,-288.000
0.025,-288.000
0.318,-288.000
0.318,-288.000
0.318,-288.000
0.226,-288.000
0.226,-288.000
0.208,-288.000
0.208,-288.000
0.336,-288.000
0.336,-288.000
0.178,-288.000
0.178,-288.000
0.141,-288.000
0.141,-288.000
0.220,-288.000
